The Report of Candidates Who Received the Most Votes on Election Night was downloaded on October 23, 2019 at 15:11 ET.
Province/territory	Electoral district	Candidate who received the most votes	Political affiliation	Number of votes cast	Candidate who received the second-most votes	Political affiliation	Number of votes cast	Total number of valid votes cast in the electoral district	Variance between first and second place (number of votes)	Variance (percentage)	Status of results (preliminary or validated)	Judicial recount requested or automatic	
Nova Scotia	South Shore--St. Margarets	Bernadette Jordan	Liberal	21,887	Rick Perkins	Conservative	14,744	52,521	7,143	13.6 %	Preliminary results	No	
Nova Scotia	Sydney--Victoria	Jaime Battiste	Liberal	12,536	Eddie Orrell	Conservative	11,228	40,576	1,308	3.22 %	Preliminary results	No	
Nova Scotia	West Nova	Chris d'Entremont	Conservative	18,390	Jason Deveau	Liberal	17,034	46,846	1,356	2.89 %	Preliminary results	No	
New Brunswick	Acadie--Bathurst	Serge Cormier	Liberal	26,519	Martine Savoie	Conservative	10,344	48,097	16,175	33.63 %	Preliminary results	No	
New Brunswick	Beauséjour	Dominic LeBlanc	Liberal	24,957	Laura Reinsborough	Green Party	14,251	53,630	10,706	19.96 %	Preliminary results	No	
New Brunswick	Fredericton	Jenica Atwin	Green Party	15,380	Andrea Johnson	Conservative	14,589	46,841	791	1.69 %	Preliminary results	No	
New Brunswick	Fundy Royal	Rob Moore	Conservative	21,727	Alaina Lockhart	Liberal	12,015	47,192	9,712	20.58 %	Preliminary results	No	
New Brunswick	Madawaska--Restigouche	René Arseneault	Liberal	17,331	Nelson Fox	Conservative	9,800	34,535	7,531	21.81 %	Preliminary results	No	
New Brunswick	Miramichi--Grand Lake	Pat Finnigan	Liberal	12,725	Peggy McLean	Conservative	12,311	34,597	414	1.2 %	Preliminary results	No	
New Brunswick	Moncton--Riverview--Dieppe	Ginette Petitpas Taylor	Liberal	22,261	Sylvie Godin-Charest	Conservative	12,190	51,943	10,071	19.39 %	Preliminary results	No	
New Brunswick	New Brunswick Southwest	John Williamson	Conservative	19,457	Karen Ludwig	Liberal	10,110	39,648	9,347	23.57 %	Preliminary results	No	
New Brunswick	Saint John--Rothesay	Wayne Long	Liberal	15,448	Rodney Weston	Conservative	14,006	41,254	1,442	3.5 %	Preliminary results	No	
New Brunswick	Tobique--Mactaquac	Richard Bragdon	Conservative	19,229	Kelsey MacDonald	Liberal	9,631	38,146	9,598	25.16 %	Preliminary results	No	
Quebec	Abitibi--Baie-James--Nunavik--Eeyou	Sylvie Bérubé	Bloc Québécois	10,904	Isabelle Bergeron	Liberal	8,125	28,925	2,779	9.61 %	Preliminary results	No	
Quebec	Abitibi--Témiscamingue	Sébastien Lemire	Bloc Québécois	22,591	Claude Thibault	Liberal	12,209	49,753	10,382	20.87 %	Preliminary results	No	
Quebec	Ahuntsic-Cartierville	Mélanie Joly	Liberal	28,560	André Parizeau	Bloc Québécois	11,635	54,152	16,925	31.25 %	Preliminary results	No	
Quebec	Alfred-Pellan	Angelo Iacono	Liberal	25,810	Michel Lachance	Bloc Québécois	15,459	53,954	10,351	19.18 %	Preliminary results	No	
Quebec	Argenteuil--La Petite-Nation	Stéphane Lauzon	Liberal	18,759	Yves Destroismaisons	Bloc Québécois	18,087	49,623	672	1.35 %	Preliminary results	No	
Quebec	Avignon--La Mitis--Matane--Matapédia	Kristina Michaud	Bloc Québécois	18,265	Rémi Massé	Liberal	11,983	35,374	6,282	17.76 %	Preliminary results	No	
Quebec	Beauce	Richard Lehoux	Conservative	22,817	Maxime Bernier	People's Party	16,772	59,125	6,045	10.22 %	Preliminary results	No	
Quebec	Beauport--Limoilou	Julie Vignola	Bloc Québécois	15,067	Alupa Clarke	Conservative	12,883	49,532	2,184	4.41 %	Preliminary results	No	
Quebec	Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix	Caroline Desbiens	Bloc Québécois	18,325	Sylvie Boucher	Conservative	14,947	50,285	3,378	6.72 %	Preliminary results	No	
Quebec	Bellechasse--Les Etchemins--Lévis	Steven Blaney	Conservative	32,192	Sébastien Bouchard-Théberge	Bloc Québécois	14,665	64,062	17,527	27.36 %	Preliminary results	No	
Quebec	Beloeil--Chambly	Yves-François Blanchet	Bloc Québécois	34,902	Marie-Chantal Hamel	Liberal	15,904	68,919	18,998	27.57 %	Preliminary results	No	
Quebec	Berthier--Maskinongé	Yves Perron	Bloc Québécois	21,007	Ruth Ellen Brosseau	NDP-New Democratic Party	19,500	56,148	1,507	2.68 %	Preliminary results	No	
Quebec	Bourassa	Emmanuel Dubourg	Liberal	22,980	Anne-Marie Lavoie	Bloc Québécois	8,987	39,902	13,993	35.07 %	Preliminary results	No	
Quebec	Brome--Missisquoi	Lyne Bessette	Liberal	23,410	Monique Allard	Bloc Québécois	21,044	61,098	2,366	3.87 %	Preliminary results	No	
Quebec	Brossard--Saint-Lambert	Alexandra Mendès	Liberal	30,208	Marie-Claude Diotte	Bloc Québécois	11,052	55,981	19,156	34.22 %	Preliminary results	No	
Quebec	Bécancour--Nicolet--Saurel	Louis Plamondon	Bloc Québécois	29,543	Nathalie Rochefort	Liberal	9,274	52,053	20,269	38.94 %	Preliminary results	No	
Quebec	Charlesbourg--Haute-Saint-Charles	Pierre Paul-Hus	Conservative	22,282	Alain D'Eer	Bloc Québécois	15,976	58,544	6,306	10.77 %	Preliminary results	No	
Quebec	Chicoutimi--Le Fjord	Richard Martel	Conservative	15,862	Valérie Tremblay	Bloc Québécois	15,248	43,268	614	1.42 %	Preliminary results	No	
Quebec	Châteauguay--Lacolle	Brenda Shanahan	Liberal	20,397	Claudia Valdivia	Bloc Québécois	19,463	52,749	934	1.77 %	Preliminary results	No	
Quebec	Compton--Stanstead	Marie-Claude Bibeau	Liberal	21,550	David Benoît	Bloc Québécois	18,507	57,796	3,043	5.27 %	Preliminary results	No	
Quebec	Dorval--Lachine--LaSalle	Anju Dhillon	Liberal	27,477	Jean-Frédéric Vaudry	Bloc Québécois	8,790	51,785	18,687	36.09 %	Preliminary results	No	
Quebec	Drummond	Martin Champoux	Bloc Québécois	24,237	William Morales	Liberal	9,495	54,315	14,742	27.14 %	Preliminary results	No	
Quebec	Gaspésie--Les Îles-de-la-Madeleine	Diane Lebouthillier	Liberal	16,296	Guy Bernatchez	Bloc Québécois	15,659	38,380	637	1.66 %	Preliminary results	No	
Quebec	Gatineau	Steven MacKinnon	Liberal	28,827	Geneviève Nadeau	Bloc Québécois	11,858	55,174	16,969	30.76 %	Preliminary results	No	
Quebec	Hochelaga	Soraya Martinez Ferrada	Liberal	17,779	Simon Marchand	Bloc Québécois	17,460	52,162	319	0.61 %	Preliminary results	No	
Quebec	Honoré-Mercier	Pablo Rodriguez	Liberal	29,336	Jacques Binette	Bloc Québécois	9,908	49,959	19,428	38.89 %	Preliminary results	No	
Quebec	Hull--Aylmer	Greg Fergus	Liberal	28,466	Joanie Riopel	Bloc Québécois	7,931	52,924	20,535	38.8 %	Preliminary results	No	
Quebec	Joliette	Gabriel Ste-Marie	Bloc Québécois	33,492	Michel Bourgeois	Liberal	12,718	57,186	20,774	36.33 %	Preliminary results	No	
Quebec	Jonquière	Mario Simard	Bloc Québécois	17,422	Karine Trudel	NDP-New Democratic Party	11,935	48,863	5,487	11.23 %	Preliminary results	No	
Quebec	La Pointe-de-l'Île	Mario Beaulieu	Bloc Québécois	25,832	Jonathan Plamondon	Liberal	16,703	54,899	9,129	16.63 %	Preliminary results	No	
Quebec	La Prairie	Alain Therrien	Bloc Québécois	25,612	Jean-Claude Poissant	Liberal	22,342	61,306	3,270	5.33 %	Preliminary results	No	
Quebec	LaSalle--Émard--Verdun	David Lametti	Liberal	22,504	Isabel Dion	Bloc Québécois	12,537	51,632	9,967	19.3 %	Preliminary results	No	
Quebec	Lac-Saint-Jean	Alexis Brunelle-Duceppe	Bloc Québécois	23,746	Richard Hébert	Liberal	13,621	53,971	10,125	18.76 %	Preliminary results	No	
Quebec	Lac-Saint-Louis	Francis Scarpaleggia	Liberal	33,845	Ann Francis	Conservative	8,948	58,320	24,897	42.69 %	Preliminary results	No	
Quebec	Laurentides--Labelle	Marie-Hélène Gaudreau	Bloc Québécois	30,525	David Graham	Liberal	21,514	65,009	9,011	13.86 %	Preliminary results	No	
Quebec	Laurier--Sainte-Marie	Steven Guilbeault	Liberal	21,551	Nimâ Machouf	NDP-New Democratic Party	12,994	51,801	8,557	16.52 %	Preliminary results	No	
Quebec	Laval--Les Îles	Fayçal EL-Khoury	Liberal	24,927	Nacera Beddad	Bloc Québécois	10,820	52,119	14,107	27.07 %	Preliminary results	No	
Quebec	Longueuil--Charles-LeMoyne	Sherry Romanado	Liberal	19,367	Cathy Lepage	Bloc Québécois	18,111	49,527	1,256	2.54 %	Preliminary results	No	
Quebec	Longueuil--Saint-Hubert	Denis Trudel	Bloc Québécois	22,937	Réjean Hébert	Liberal	20,271	59,239	2,666	4.5 %	Preliminary results	No	
Quebec	Louis-Hébert	Joël Lightbound	Liberal	24,910	Christian Hébert	Bloc Québécois	17,262	61,474	7,648	12.44 %	Preliminary results	No	
Quebec	Louis-Saint-Laurent	Gérard Deltell	Conservative	28,735	Jeanne-Paule Desgagnés	Bloc Québécois	14,577	64,767	14,158	21.86 %	Preliminary results	No	
Quebec	Lévis--Lotbinière	Jacques Gourde	Conservative	28,218	François-Noël Brault	Bloc Québécois	15,873	63,159	12,345	19.55 %	Preliminary results	No	
Quebec	Manicouagan	Marilène Gill	Bloc Québécois	21,553	François Corriveau	Conservative	7,718	39,906	13,835	34.67 %	Preliminary results	No	
Quebec	Marc-Aurèle-Fortin	Yves Robillard	Liberal	24,652	Lizabel Nitoi	Bloc Québécois	17,989	55,351	6,663	12.04 %	Preliminary results	No	
Quebec	Mirabel	Simon Marcil	Bloc Québécois	32,045	Karl Trudel	Liberal	15,547	62,708	16,498	26.31 %	Preliminary results	No	
Quebec	Montarville	Stéphane Bergeron	Bloc Québécois	25,249	Michel Picard	Liberal	20,877	58,629	4,372	7.46 %	Preliminary results	No	
Quebec	Montcalm	Luc Thériault	Bloc Québécois	31,699	Isabel Sayegh	Liberal	11,113	54,529	20,586	37.75 %	Preliminary results	No	
Quebec	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Bernard Généreux	Conservative	20,934	Louis Gagnon	Bloc Québécois	16,121	50,000	4,813	9.63 %	Preliminary results	No	
Quebec	Mount Royal	Anthony Housefather	Liberal	24,137	David Tordjman	Conservative	10,723	42,793	13,414	31.35 %	Preliminary results	No	
Quebec	Mégantic--L'Érable	Luc Berthold	Conservative	23,046	Priscilla Corbeil	Bloc Québécois	11,997	46,628	11,049	23.7 %	Preliminary results	No	
Quebec	Notre-Dame-de-Grâce--Westmount	Marc Garneau	Liberal	27,217	Franklin Gertler	NDP-New Democratic Party	7,456	48,355	19,761	40.87 %	Preliminary results	No	
Quebec	Outremont	Rachel Bendayan	Liberal	18,419	Andrea Clarke	NDP-New Democratic Party	7,808	39,201	10,611	27.07 %	Preliminary results	No	
Quebec	Papineau	Justin Trudeau	Liberal	24,797	Christine Paré	NDP-New Democratic Party	9,135	48,451	15,662	32.33 %	Preliminary results	No	
Quebec	Pierre-Boucher--Les Patriotes--Verchères	Xavier Barsalou-Duval	Bloc Québécois	31,503	Simon Chalifoux	Liberal	17,165	60,912	14,338	23.54 %	Preliminary results	No	
Quebec	Pierrefonds--Dollard	Sameer Zuberi	Liberal	30,905	Mariam Ishak	Conservative	9,682	54,699	21,223	38.8 %	Preliminary results	No	
Quebec	Pontiac	William Amos	Liberal	29,759	Dave Blackburn	Conservative	10,298	60,915	19,461	31.95 %	Preliminary results	No	
Quebec	Portneuf--Jacques-Cartier	Joël Godin	Conservative	27,524	Mathieu Bonsaint	Bloc Québécois	15,440	63,644	12,084	18.99 %	Preliminary results	No	
Quebec	Québec	Jean-Yves Duclos	Liberal	18,047	Christiane Gagnon	Bloc Québécois	17,832	54,355	215	0.4 %	Preliminary results	No	
Quebec	Repentigny	Monique Pauzé	Bloc Québécois	34,644	Josée Larose	Liberal	17,976	64,942	16,668	25.67 %	Preliminary results	No	
Quebec	Richmond--Arthabaska	Alain Rayes	Conservative	26,576	Olivier Nolin	Bloc Québécois	16,475	58,495	10,101	17.27 %	Preliminary results	No	
Quebec	Rimouski-Neigette--Témiscouata--Les Basques	Maxime Blanchette-Joncas	Bloc Québécois	17,221	Guy Caron	NDP-New Democratic Party	12,916	45,376	4,305	9.49 %	Preliminary results	No	
Quebec	Rivière-des-Mille-Îles	Luc Desilets	Bloc Québécois	23,521	Linda Lapointe	Liberal	20,773	57,780	2,748	4.76 %	Preliminary results	No	
Quebec	Rivière-du-Nord	Rhéal Fortin	Bloc Québécois	30,620	Florence Gagnon	Liberal	12,954	58,578	17,666	30.16 %	Preliminary results	No	
Quebec	Rosemont--La Petite-Patrie	Alexandre Boulerice	NDP-New Democratic Party	24,951	Geneviève Hinse	Liberal	14,245	59,016	10,706	18.14 %	Preliminary results	No	
Quebec	Saint-Hyacinthe--Bagot	Simon-Pierre Savard-Tremblay	Bloc Québécois	22,995	René Vincelette	Liberal	11,828	55,543	11,167	20.11 %	Preliminary results	No	
Quebec	Saint-Jean	Christine Normandin	Bloc Québécois	27,677	Jean Rioux	Liberal	18,767	61,354	8,910	14.52 %	Preliminary results	No	
Quebec	Saint-Laurent	Emmanuella Lambropoulos	Liberal	23,272	Richard Serour	Conservative	6,914	39,629	16,358	41.28 %	Preliminary results	No	
Quebec	Saint-Léonard--Saint-Michel	Patricia Lattanzio	Liberal	27,553	Ilario Maiolo	Conservative	5,353	45,000	22,200	49.33 %	Preliminary results	No	
Quebec	Saint-Maurice--Champlain	François-Philippe Champagne	Liberal	22,961	Nicole Morin	Bloc Québécois	19,856	58,029	3,105	5.35 %	Preliminary results	No	
Quebec	Salaberry--Suroît	Claude Debellefeuille	Bloc Québécois	29,904	Marc Faubert	Liberal	18,546	62,568	11,358	18.15 %	Preliminary results	No	
Quebec	Shefford	Andréanne Larouche	Bloc Québécois	23,438	Pierre Breton	Liberal	22,472	60,552	966	1.6 %	Preliminary results	No	
Quebec	Sherbrooke	Élisabeth Brière	Liberal	17,551	Pierre-Luc Dusseault	NDP-New Democratic Party	16,917	59,850	634	1.06 %	Preliminary results	No	
Quebec	Terrebonne	Michel Boudrias	Bloc Québécois	30,785	Frédéric Beauchemin	Liberal	17,637	60,579	13,148	21.7 %	Preliminary results	No	
Quebec	Thérèse-De Blainville	Louise Chabot	Bloc Québécois	24,364	Ramez Ayoub	Liberal	21,673	59,116	2,691	4.55 %	Preliminary results	No	
Quebec	Trois-Rivières	Louise Charbonneau	Bloc Québécois	17,178	Valérie Renaud-Martin	Liberal	15,676	60,208	1,502	2.49 %	Preliminary results	No	
Quebec	Vaudreuil--Soulanges	Peter Schiefke	Liberal	31,971	Noémie Rouillard	Bloc Québécois	16,550	67,564	15,421	22.82 %	Preliminary results	No	
Quebec	Ville-Marie--Le Sud-Ouest--Île-des-Soeurs	Marc Miller	Liberal	27,107	Sophie Thiébaut	NDP-New Democratic Party	7,912	51,054	19,195	37.6 %	Preliminary results	No	
Quebec	Vimy	Annie Koutrakis	Liberal	26,181	Claire-Emmanuelle Beaulieu	Bloc Québécois	15,402	55,115	10,779	19.56 %	Preliminary results	No	
Ontario	Ajax	Mark Holland	Liberal	34,344	Tom Dingwall	Conservative	16,219	60,377	18,125	30.02 %	Preliminary results	No	
Ontario	Algoma--Manitoulin--Kapuskasing	Carol Hughes	NDP-New Democratic Party	16,740	Dave Williamson	Conservative	10,557	40,209	6,183	15.38 %	Preliminary results	No	
Ontario	Aurora--Oak Ridges--Richmond Hill	Leona Alleslev	Conservative	23,333	Leah Taylor Roy	Liberal	22,014	52,162	1,319	2.53 %	Preliminary results	No	
Ontario	Barrie--Innisfil	John Brassard	Conservative	23,573	Lisa-Marie Wilson	Liberal	15,655	53,600	7,918	14.77 %	Preliminary results	No	
Ontario	Barrie--Springwater--Oro-Medonte	Doug Shipley	Conservative	20,857	Brian Kalliecharan	Liberal	16,601	53,254	4,256	7.99 %	Preliminary results	No	
Ontario	Bay of Quinte	Neil Ellis	Liberal	24,351	Tim Durkin	Conservative	22,886	61,953	1,465	2.36 %	Preliminary results	No	
Ontario	Beaches--East York	Nathaniel Erskine-Smith	Liberal	32,168	Mae J. Nam	NDP-New Democratic Party	11,964	56,206	20,204	35.95 %	Preliminary results	No	
Ontario	Brampton Centre	Ramesh Sangha	Liberal	18,543	Pawanjit Gosal	Conservative	10,605	39,278	7,938	20.21 %	Preliminary results	No	
Ontario	Brampton East	Maninder Sidhu	Liberal	23,727	Saranjit Singh	NDP-New Democratic Party	13,077	50,078	10,650	21.27 %	Preliminary results	No	
Ontario	Brampton North	Ruby Sahota	Liberal	25,697	Arpan Khanna	Conservative	13,895	49,958	11,802	23.62 %	Preliminary results	No	
Ontario	Brampton South	Sonia Sidhu	Liberal	23,836	Ramandeep Brar	Conservative	13,753	48,171	10,083	20.93 %	Preliminary results	No	
Ontario	Brampton West	Kamal Khera	Liberal	28,433	Murarilal Thapliyal	Conservative	12,659	53,007	15,774	29.76 %	Preliminary results	No	
Ontario	Brantford--Brant	Phil McColeman	Conservative	26,723	Danielle Takacs	Liberal	20,250	66,068	6,473	9.8 %	Preliminary results	No	
Ontario	Bruce--Grey--Owen Sound	Alex Ruff	Conservative	26,584	Michael Den Tandt	Liberal	17,247	57,522	9,337	16.23 %	Preliminary results	No	
Ontario	Burlington	Karina Gould	Liberal	34,217	Jane Michael	Conservative	23,467	70,888	10,750	15.16 %	Preliminary results	No	
Ontario	Cambridge	Bryan May	Liberal	22,636	Sunny Attwal	Conservative	17,316	57,295	5,320	9.29 %	Preliminary results	No	
Ontario	Carleton	Pierre Poilievre	Conservative	31,637	Chris Rodgers	Liberal	25,934	67,935	5,703	8.39 %	Preliminary results	No	
Ontario	Chatham-Kent--Leamington	Dave Epp	Conservative	25,289	Katie Omstead	Liberal	16,751	53,728	8,538	15.89 %	Preliminary results	No	
Ontario	Davenport	Julie Dzerowicz	Liberal	22,813	Andrew Cash	NDP-New Democratic Party	21,341	52,303	1,472	2.81 %	Preliminary results	No	
Ontario	Don Valley East	Yasmin Ratansi	Liberal	24,908	Michael Ma	Conservative	10,036	41,734	14,872	35.64 %	Preliminary results	No	
Ontario	Don Valley North	Han Dong	Liberal	22,998	Sarah Fischer	Conservative	16,307	45,704	6,691	14.64 %	Preliminary results	No	
Ontario	Don Valley West	Rob Oliphant	Liberal	28,426	Yvonne Robertson	Conservative	15,981	51,017	12,445	24.39 %	Preliminary results	No	
Ontario	Dufferin--Caledon	Kyle Seeback	Conservative	28,729	Michele Fisher	Liberal	22,330	67,956	6,399	9.42 %	Preliminary results	No	
Ontario	Durham	Erin O'Toole	Conservative	30,627	Jonathan Giancroce	Liberal	23,299	72,423	7,328	10.12 %	Preliminary results	No	
Ontario	Eglinton--Lawrence	Marco Mendicino	Liberal	29,384	Chani Aryeh-Bain	Conservative	17,909	55,109	11,475	20.82 %	Preliminary results	No	
Ontario	Elgin--Middlesex--London	Karen Vecchio	Conservative	30,880	Pam Armstrong	Liberal	14,166	61,288	16,714	27.27 %	Preliminary results	No	
Ontario	Essex	Chris Lewis	Conservative	28,126	Tracey Ramsey	NDP-New Democratic Party	23,350	67,686	4,776	7.06 %	Preliminary results	No	
Ontario	Etobicoke Centre	Yvan Baker	Liberal	32,347	Ted Opitz	Conservative	21,610	62,390	10,737	17.21 %	Preliminary results	No	
Ontario	Etobicoke North	Kirsty Duncan	Liberal	26,147	Sarabjit Kaur	Conservative	9,415	42,685	16,732	39.2 %	Preliminary results	No	
Ontario	Etobicoke--Lakeshore	James Maloney	Liberal	35,522	Barry O'Brien	Conservative	19,811	68,588	15,711	22.91 %	Preliminary results	No	
Ontario	Flamborough--Glanbrook	David Sweet	Conservative	24,352	Jennifer Stebbing	Liberal	23,702	62,937	650	1.03 %	Preliminary results	No	
Ontario	Glengarry--Prescott--Russell	Francis Drouin	Liberal	29,991	Pierre Lemieux	Conservative	22,849	63,297	7,142	11.28 %	Preliminary results	No	
Ontario	Guelph	Lloyd Longfield	Liberal	29,890	Steve Dyck	Green Party	18,808	74,059	11,082	14.96 %	Preliminary results	No	
Ontario	Haldimand--Norfolk	Diane Finley	Conservative	27,298	Kim Huffman	Liberal	14,285	58,372	13,013	22.29 %	Preliminary results	No	
Ontario	Haliburton--Kawartha Lakes--Brock	Jamie Schmale	Conservative	31,986	Judi Forbes	Liberal	16,839	65,015	15,147	23.3 %	Preliminary results	No	
Ontario	Hamilton Centre	Matthew Green	NDP-New Democratic Party	20,080	Jasper Kujavsky	Liberal	12,474	43,528	7,606	17.47 %	Preliminary results	No	
Ontario	Hamilton East--Stoney Creek	Bob Bratina	Liberal	19,899	Nick Milanovic	NDP-New Democratic Party	14,814	51,639	5,085	9.85 %	Preliminary results	No	
Ontario	Hamilton Mountain	Scott Duvall	NDP-New Democratic Party	18,872	Bruno Uggenti	Liberal	15,825	52,273	3,047	5.83 %	Preliminary results	No	
Ontario	Hamilton West--Ancaster--Dundas	Filomena Tassi	Liberal	29,740	Bert Laranjo	Conservative	17,219	64,131	12,521	19.52 %	Preliminary results	No	
Ontario	Hastings--Lennox and Addington	Derek Sloan	Conservative	21,225	Mike Bossio	Liberal	18,991	51,321	2,234	4.35 %	Preliminary results	No	
Ontario	Humber River--Black Creek	Judy Sgro	Liberal	22,983	Maria Augimeri	NDP-New Democratic Party	7,126	37,636	15,857	42.13 %	Preliminary results	No	
Ontario	Huron--Bruce	Ben Lobb	Conservative	29,351	Allan Thompson	Liberal	19,909	60,330	9,442	15.65 %	Preliminary results	No	
Ontario	Kanata--Carleton	Karen McCrimmon	Liberal	27,802	Justina McCaffrey	Conservative	23,699	64,613	4,103	6.35 %	Preliminary results	No	
Ontario	Kenora	Eric Melillo	Conservative	9,313	Bob Nault	Liberal	8,188	27,304	1,125	4.12 %	Preliminary results	No	
Ontario	King--Vaughan	Deb Schulte	Liberal	28,365	Anna Roberts	Conservative	27,454	63,199	911	1.44 %	Preliminary results	No	
Ontario	Kingston and the Islands	Mark Gerretsen	Liberal	30,688	Barrington Walker	NDP-New Democratic Party	15,592	66,672	15,096	22.64 %	Preliminary results	No	
Ontario	Kitchener Centre	Raj Saini	Liberal	20,014	Mike Morrice	Green Party	14,215	54,659	5,799	10.61 %	Preliminary results	No	
Ontario	Kitchener South--Hespeler	Marwan Tabbara	Liberal	20,732	Alan Keeso	Conservative	17,359	51,694	3,373	6.52 %	Preliminary results	No	
Ontario	Kitchener--Conestoga	Tim Louis	Liberal	20,106	Harold Albrecht	Conservative	19,833	50,763	273	0.54 %	Preliminary results	No	
Ontario	Lambton--Kent--Middlesex	Lianne Rood	Conservative	28,489	Jesse McCormick	Liberal	14,638	57,864	13,851	23.94 %	Preliminary results	No	
Ontario	Lanark--Frontenac--Kingston	Scott Reid	Conservative	29,405	Kayley Kennedy	Liberal	14,926	60,868	14,479	23.79 %	Preliminary results	No	
Ontario	Leeds-Grenville-Thousand Islands and Rideau Lakes	Michael Barrett	Conservative	28,435	Josh Bennett	Liberal	15,266	57,799	13,169	22.78 %	Preliminary results	No	
Ontario	London North Centre	Peter Fragiskatos	Liberal	25,496	Sarah Bokhari	Conservative	14,291	59,777	11,205	18.74 %	Preliminary results	No	
Ontario	London West	Kate Young	Liberal	30,054	Liz Snelgrove	Conservative	19,718	70,234	10,336	14.72 %	Preliminary results	No	
Ontario	London--Fanshawe	Lindsay Mathyssen	NDP-New Democratic Party	22,450	Mohamed Hammoud	Liberal	14,679	54,933	7,771	14.15 %	Preliminary results	No	
Ontario	Markham--Stouffville	Helena Jaczek	Liberal	24,743	Theodore Antony	Conservative	19,570	63,654	5,173	8.13 %	Preliminary results	No	
Ontario	Markham--Thornhill	Mary Ng	Liberal	23,826	Alex Yuan	Conservative	15,401	44,330	8,425	19.01 %	Preliminary results	No	
Ontario	Markham--Unionville	Bob Saroya	Conservative	25,871	Alan Ho	Liberal	20,019	52,464	5,852	11.15 %	Preliminary results	No	
Ontario	Milton	Adam van Koeverden	Liberal	30,467	Lisa Raitt	Conservative	21,454	59,005	9,013	15.27 %	Preliminary results	No	
Ontario	Mississauga Centre	Omar Alghabra	Liberal	29,472	Milad Mikael	Conservative	15,758	52,948	13,714	25.9 %	Preliminary results	No	
Ontario	Mississauga East--Cooksville	Peter Fonseca	Liberal	27,058	Wladyslaw Lizon	Conservative	17,237	51,079	9,821	19.23 %	Preliminary results	No	
